# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.215, 4.096, 0.226, 0.709, 0.774, 0.261
0.257, 4.184, 0.521, 0.69, 0.741, 0.048
0.134, 4.304, 0.228, 0.527, 0.79, 0.322
0.305, 4.877, 0.505, 0.656, 0.71, 0.024
0.154, 4.288, 0.198, 0.572, 0.839, 0.115
0.29, 4.601, 0.359, 0.577, 0.72, 0.373
0.207, 3.816, 0.117, 0.735, 0.812, 0.311
0.22, 3.672, 0.487, 0.573, 0.762, 0.16
0.345, 4.449, 0.56, 0.619, 0.685, 0.317
0.298, 4.143, 0.353, 0.568, 0.721, 0.382
0.149, 4.574, 0.137, 0.626, 0.834, 0.376
0.26, 4.846, 0.449, 0.632, 0.7, 0.141
0.311, 4.07, 0.417, 0.538, 0.699, 0.353
