# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.069, 4.349, 0.339, 0.576, 0.615, 0.238
0.083, 3.608, 0.363, 0.624, 0.586, 0.434
0.085, 3.85, 0.365, 0.535, 0.595, 0.276
0.111, 3.934, 0.374, 0.563, 0.6, 0.465
0.1, 3.814, 0.348, 0.442, 0.6, 0.299
0.128, 3.516, 0.155, 0.632, 0.637, 0.312
0.102, 3.183, 0.288, 0.409, 0.574, 0.485
0.097, 4.038, 0.284, 0.535, 0.625, 0.31
0.14, 3.796, 0.536, 0.553, 0.603, 0.198
0.079, 4.221, 0.252, 0.425, 0.606, 0.061
0.081, 3.96, 0.442, 0.544, 0.564, 0.418
0.097, 4.443, 0.208, 0.473, 0.61, 0.041
0.151, 3.416, 0.36, 0.539, 0.57, 0.493
0.134, 3.477, 0.326, 0.602, 0.597, 0.097
0.064, 3.975, 0.377, 0.518, 0.591, 0.25
0.084, 3.454, 0.263, 0.482, 0.601, 0.306
0.154, 3.866, 0.343, 0.624, 0.574, 0.347
0.109, 3.76, 0.235, 0.467, 0.625, 0.435
0.135, 4.096, 0.389, 0.516, 0.553, 0.145
0.057, 4.211, 0.191, 0.561, 0.636, 0.076
0.081, 3.524, 0.154, 0.509, 0.616, 0.377
0.082, 4.283, 0.178, 0.579, 0.655, 0.083
0.114, 3.906, 0.351, 0.522, 0.582, 0.313
0.093, 3.47, 0.172, 0.571, 0.632, 0.401
0.121, 4.126, 0.318, 0.64, 0.611, 0.112
0.107, 3.882, 0.529, 0.591, 0.562, 0.45
0.073, 4.026, 0.339, 0.431, 0.571, 0.097
0.093, 4.034, 0.455, 0.51, 0.555, 0.001
0.099, 3.966, 0.292, 0.544, 0.624, 0.132
0.078, 4.932, 0.214, 0.548, 0.612, 0.065
0.157, 3.181, 0.334, 0.645, 0.606, 0.348
0.087, 4.12, 0.17, 0.491, 0.606, 0.28
0.068, 3.901, 0.302, 0.662, 0.59, 0.246
0.139, 3.703, 0.39, 0.646, 0.612, 0.254
0.071, 3.236, 0.247, 0.548, 0.627, 0.448
0.131, 4.116, 0.501, 0.565, 0.576, 0.293
0.099, 4.322, 0.345, 0.395, 0.582, 0.095
0.089, 3.932, 0.18, 0.399, 0.591, 0.364
0.139, 3.413, 0.434, 0.571, 0.592, 0.159
0.077, 4.104, 0.342, 0.643, 0.599, 0.057
0.074, 4.029, 0.208, 0.596, 0.619, 0.352
0.147, 3.601, 0.334, 0.606, 0.589, 0.481
0.155, 3.705, 0.341, 0.609, 0.57, 0.472
0.084, 3.414, 0.524, 0.626, 0.602, 0.208
0.065, 3.46, 0.243, 0.54, 0.586, 0.3
0.077, 3.579, 0.335, 0.568, 0.559, 0.251
0.102, 3.065, 0.456, 0.652, 0.574, 0.465
0.115, 3.544, 0.275, 0.645, 0.57, 0.404
0.106, 4.507, 0.14, 0.554, 0.623, 0.157
0.063, 3.278, 0.184, 0.588, 0.619, 0.371
0.126, 4.176, 0.22, 0.647, 0.585, 0.156
0.13, 3.083, 0.318, 0.624, 0.596, 0.383
0.124, 3.918, 0.234, 0.532, 0.596, 0.413
0.133, 3.676, 0.33, 0.595, 0.583, 0.347
0.092, 3.641, 0.122, 0.496, 0.624, 0.496
0.079, 4.066, 0.116, 0.524, 0.64, 0.466
0.105, 4.435, 0.346, 0.523, 0.591, 0.271
0.056, 3.938, 0.273, 0.703, 0.645, 0.13
0.101, 3.824, 0.42, 0.671, 0.585, 0.402
0.121, 4.126, 0.244, 0.551, 0.609, 0.457
0.155, 3.581, 0.331, 0.615, 0.59, 0.435
0.107, 4.039, 0.324, 0.509, 0.56, 0.339
0.097, 4.037, 0.398, 0.692, 0.593, 0.347
0.103, 3.962, 0.374, 0.566, 0.602, 0.284
0.086, 4.118, 0.447, 0.606, 0.572, 0.102
0.133, 3.592, 0.311, 0.524, 0.589, 0.116
0.064, 3.809, 0.357, 0.487, 0.601, 0.172
0.065, 4.655, 0.256, 0.502, 0.612, 0.124
0.084, 4.216, 0.161, 0.369, 0.612, 0.02
0.093, 2.972, 0.356, 0.785, 0.621, 0.428
0.098, 3.444, 0.239, 0.542, 0.594, 0.344
0.098, 4.011, 0.363, 0.429, 0.595, 0.073
0.16, 3.886, 0.441, 0.442, 0.578, 0.247
0.109, 4.266, 0.305, 0.435, 0.604, 0.186
0.128, 4.038, 0.339, 0.587, 0.611, 0.033
0.094, 3.77, 0.357, 0.634, 0.596, 0.219
0.083, 3.891, 0.309, 0.403, 0.585, 0.27
0.111, 4.533, 0.283, 0.527, 0.61, 0.171
0.134, 4.411, 0.333, 0.586, 0.581, 0.318
0.099, 4.529, 0.16, 0.518, 0.637, 0.122
0.105, 3.367, 0.259, 0.596, 0.61, 0.452
0.156, 4.444, 0.477, 0.593, 0.585, 0.013
0.077, 4.127, 0.247, 0.399, 0.612, 0.012
0.094, 3.808, 0.27, 0.416, 0.591, 0.305
0.096, 4.045, 0.174, 0.375, 0.621, 0.183
0.138, 3.189, 0.445, 0.541, 0.577, 0.442
0.098, 4.375, 0.268, 0.588, 0.579, 0.042
0.073, 3.92, 0.177, 0.509, 0.6, 0.082
0.143, 3.509, 0.343, 0.568, 0.589, 0.437
0.108, 4.042, 0.208, 0.616, 0.62, 0.303
0.109, 4.243, 0.423, 0.597, 0.583, 0.132
0.075, 4.603, 0.241, 0.474, 0.638, 0.078
0.066, 3.866, 0.284, 0.541, 0.603, 0.27
0.074, 4.339, 0.252, 0.309, 0.618, 0.047
0.058, 3.815, 0.153, 0.619, 0.634, 0.083
0.08, 3.653, 0.236, 0.649, 0.623, 0.377
0.061, 3.895, 0.432, 0.581, 0.607, 0.19
0.112, 3.849, 0.2, 0.471, 0.589, 0.42
